artist,country,price,year
Phinger Phucker,US,21.0,2004
Various,US,15.0,1999
The Control Phreakz,US,40.0,1998
Ruff Driverz,US,12.0,1999
DJ Sharaz,US,17.0,2001
DJ Icey,US,25.0,2001
DJ Spice (2),US,20.0,2001
Sanctuary Mission,US,25.0,1996
The Autobots,UK,25.0,17 Apr 2006
K5,,23.0,
Simply Jeff,US,13.0,1999
DJ Versatile (2),US,15.0,
Brad Smith,US,20.0,2000
Skeezoid,US,25.0,2001
Various,"Vinyl, 12""",20.0,US
Aquagen,Germany,20.0,Nov 1999
DJ Spice (2),US,25.0,2001
DJ Baby Anne,US,23.0,2001
DJ Gumbee,US,13.0,2003
Urban J,US,20.0,2002
Various,US,20.0,
Sharaz,US,23.0,1999
Tony Faline,US,20.0,1998
Dynamix II,US,30.0,1990
DJ Icey,US,25.0,1999
Various,,25.0,
Inhumanz,US,20.0,03 Jun 2005
Various,US,20.0,Jul 2003
Ultra Magnetic M.C.'s,US,39.99,1987
Ralphi Rosario,US,33.989999999999995,1987
U2,,20.0,
AGH,US,15.0,27 Jun 1999
Überzone,US,15.0,2001
Various,US,13.0,2001
Kelly Reverb,US,23.0,2002
Unknown Artist,US,23.0,2000
Diddy,UK,18.0,20 Feb 2006
DJ Brad Smith,US,25.0,2000
Various,US,15.0,2000
Eiffel 65,Italy,60.0,1998
Napt,UK,15.0,10 Jul 2004
Baby Anne,US,17.0,2002
Tony Faline,US,25.0,2003
Sharaz,US,25.0,01 Apr 2001
Scotty Fox,,25.0,
K5,US,20.0,
Science (6),US,60.0,2000
Maze Featuring Frankie Beverly,US,33.989999999999995,1986
Various,"Vinyl, 12"", 33 ⅓ RPM, Compilation, Promo",15.0,US
Elektronauts,UK,45.0,2000
Dave London,US,90.0,May 2004
Frankie Knuckles,US,53.99,1989
Kelly Reverb,US,25.0,2001
Darcadian,US,13.0,2002
The Breakfastaz,UK,13.0,27 Jun 2005
The Chemical Brothers,Europe,13.0,10 Sep 2001
Ed The Red,US,13.0,
Suave,US,25.0,2000
W8Less,US,20.0,1999
Bass Mekanik,US,20.0,1999
DJ Apple,US,17.0,2001
The Autøbøts,UK,15.0,2006
P-Bone,US,18.0,2004
DJ Icey,US,30.0,1996
Renegades Of Funk,US,20.0,2001
Various,US,15.0,2004
Gil Scott-Heron / Brian Jackson,US,53.99,1974
Beastie Boys,US,49.99,Dec 1984
DJ Icey,US,100.0,1999
Ravelab,US,12.0,2001
Coldplay,"Vinyl, 12"", 45 RPM, Single Sided, Unofficial Release",15.0,UK
Charlies Onion,UK,12.0,2004
DJ Icey,US,25.0,2003
Mona Q,US,15.0,2001
Various,US,15.0,
Various,"Vinyl, 12"", Compilation",15.0,US
C4 (4),US,35.0,1999
Mix Factory,US,120.0,2000
Supergrass,"Vinyl, 12"", Unofficial Release, 45 RPM",15.0,UK
DJ Baby Anne,US,25.0,2000
Burufunk,US,20.0,2001
DJ Icey,US,30.0,2001
Various,US,20.0,
29 Palms,UK,12.0,13 May 2002
Tomas Andersson,"Vinyl, 12"", Unofficial Release, Single Sided",20.0,UK
DJ Sharaz,US,20.0,2004
Ian Van Dahl,US,20.0,2000
Various,US,15.0,
Agent-K/Deuce,US,25.0,2003
X Factor,US,20.0,2002
Ray Davies,Australia,10.0,1986
The Aquarians,US,24.99,1969
Hail The Sun,US,43.0,28 Sep 2018
Daniele Papini,Germany,26.0,28 Jun 2013
Bob Kuban And The In-Men,US,8.0,Oct 1965
Bloodgood,"USA, Canada & Europe",15.0,1987
The Fremont's Group,"Vinyl, LP, Album, Stereo",12.35,France
Cafe Tacvba,Mexico,55.0,2017
Tim Hardin,US,32.980000000000004,1967
Rhye,Europe,25.6,02 Feb 2018
Henry Mancini,US,24.5,2004
The Allman Brothers Band,Japan,38.09,1980
Joji,,40.49,25 Sep 2020
Club Veg,Australia,10.0,1988
Hail The Sun,US,33.0,2017
Michael Procter,Italy,26.0,1998
Bloodgood,"USA, Canada & Europe",15.0,1987
The Roots,US,21.0,1996
Nancy Sinatra,Japan,41.19,
AC/DC,US,27.95,13 Nov 2020
Artists United Against Apartheid,Australia,5.0,1985
King Hannibal,US,6.99,1972
White Boy (4),US,6.99,2004
Ill Al Skratch,US,15.49,1997
Busta Rhymes,US,6.99,2002
Baby Washington,US,11.99,
The Vigilantes (2),US,8.99,1998
Ruffnation,US,7.49,
Wrecks-N-Effect,US,6.99,1988
Half Pit Half Dead,US,6.99,1994
Morgan Heritage,US,5.99,2004
Navies,US,5.99,2006
The Temple Of Hiphop,US,6.99,1999
Warm Wires,US,5.99,1996
Les Gluetones,Canada,13.99,1993
Monikers,"Vinyl, 7"", Single",9.99,
Tenderloinz,US,6.99,1984
Mis-Teeq,US,6.99,23 Nov 2004
Lil' O,US,6.99,2001
Fannypack,US,6.99,Apr 2005
Marly,US,6.99,2004
Storm The Unpredictable,US,8.99,2005
69 Boyz,US,6.99,2001
The Black Russians,US,6.99,2003
Danté,US,6.99,2001
Charles Christopher,US,6.99,1989
Faze One,US,8.99,1986
Queen Latifah,US,8.99,1989
Klymaxx,US,7.99,1984
Ill Got Ten,US,6.99,2001
Lil Nut,US,6.99,2003
Nina Ross,US,6.99,2000
L.A. Dream Team,US,6.99,1986
Ready For The World,US,6.99,1986
Fabolous,US,6.99,2002
L.V.,US,8.99,1995
YSB,US,6.99,2004
Brian Auger's Oblivion Express,US,6.99,1972
2 Deep (3),US,6.99,1990
Chico & Coolwadda,US,6.99,2000
Hint Of Grey,US,8.99,1989
Slughog,US,7.99,1991
Patrick Juvet,US,7.99,15 May 1978
LaTour,US,7.99,1993
Leonard Conan,Canada,14.99,1992
The No-Gos,US,7.99,2000
Antoinette,US,8.99,27 Nov 1989
JT Money,US,6.99,1999
Toya (2),US,6.99,2001
Madina,US,6.99,2002
Doc Box & B. Fresh,US,7.99,1990
Ann Nesby,US,8.49,1996
Simply Black,US,6.99,1995
Ruby,US,6.99,1995
Muzik Avenue Allstars,US,9.99,
R.A. The Rugged Man,US,9.99,1996
